Year,SeaLevelRise
1880,27.44999998
1881,22.0583333
1882,7.241666625
1883,21.5333333
1884,34.26666663
1885,34.54999995
1886,29.68333328
1887,27.85833328
1888,29.59166663
1889,29.69999998
1890,30.18333328
1891,33.92499998
1892,33.07499995
1893,37.94999995
1894,30.49166663
1895,37.7
1896,33.44166663
1897,39.34166665
1898,49.7333333
1899,54.55833328
1900,48.8833333
1901,50.99999995
1902,53.86666663
1903,61.6833333
1904,48.64166665
1905,47.29999998
1906,53.19999998
1907,50.99999995
1908,49.4583333
1909,52.89999998
1910,53.76666665
1911,62.04999995
1912,58.6833333
1913,61.49999998
1914,71.49999998
1915,71.02499998
1916,72.35833328
1917,67.05833328
1918,65.18333333
1919,68.55833328
1920,70.62499995
1921,71.33333333
1922,70.8333333
1923,70.2833333
1924,65.04999995
1925,66.39166665
1926,73.02499995
1927,70.8083333
1928,67.87499995
1929,70.47499998
1930,73.9083333
1931,73.8583333
1932,80.10833333
1933,81.79166663
1934,78.575
1935,82.91666665
1936,79.1583333
1937,86.49999998
1938,86.69999998
1939,93.3083333
1940,88.45833328
1941,99.32499998
1942,101.3666667
1943,98.6083333
1944,92.47499998
1945,96.68333333
1946,103.3833333
1947,109.2
1948,111.8083333
1949,109.0666666
1950,114.2166666
1951,121.2083333
1952,120.5666666
1953,123.0416666
1954,122.2583333
1955,119.75
1956,117.05
1957,131.3583333
1958,131.6083333
1959,131.6416666
1960,137.25
1961,140.2166666
1962,136.8083333
1963,131.95
1964,129.4916666
1965,137.95
1966,131.2583333
1967,135.6166666
1968,135.5416666
1969,141.4871546
1970,135.2259256
1971,141.7137175
1972,154.9333107
1973,145.417113
1974,161.4718975
1975,158.0378959
1976,162.5890936
1977,155.5085024
1978,151.3361406
1979,154.698436
1980,165.6065397
1981,171.7720097
1982,174.4537217
1983,171.0657644
1984,171.350265
1985,168.2760202
1986,173.0255247
1987,175.3879382
1988,176.7627658
1989,180.4588049
1990,186.8092534
1991,193.8631652
1992,189.0668632
1993,181.1604625
1994,188.1994472
1995,193.4667113
1996,193.5166851
1997,200.1847245
1998,195.1952432
1999,201.0558386
2000,201.801398
2001,205.4425266
2002,202.9374922
2003,209.1634242
2004,209.7098123
2005,212.1290937
2006,215.5963953
2007,216.0673955
2008,223.909057
2009,233.8821883
2010,238.3880676
2011,237.9421426
2012,247.5401042
2013,243.6903113
2014,255.451082
2015,256.0915046
2016,257.9377059
2017,256.2620816
2018,256.4398261
2019,266.5791701
2020,267.609838
